t,round,my_cash,my_eco,opp_eco,opp_eco_income,opp_send_spend,opp_tower_spend,opp_cash,opp_cash_ceiling,sends,tick_period,payout_ratio,trk_red,trk_blue,trk_green,trk_yellow,trk_pink,side,opp_tower_raw,tower_clips,tower_sites,tower_unpriced,scene_changes,library
1.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
2.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
3.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
4.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
5.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
6.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
7.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
8.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
9.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
10.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
11.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
12.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
13.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
14.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
15.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
16.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
17.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
18.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
19.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
20.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
21.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
22.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
23.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
24.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
25.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
26.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0,,0,0,0,0,0,0
